NAME,DP02_0068PE,DP03_0062E,DP05_0001E,DP05_0076PE,DP05_0082PE,DP05_0083PE,DP05_0085PE,state,county,county subdivision
"Colebrook town, Northwest Hills Planning Region, Connecticut",38.9,114904,1463,1.6,91.0,1.6,2.1,09,160,16050
"Cornwall town, Northwest Hills Planning Region, Connecticut",55.1,101339,1438,2.9,86.2,0.6,6.3,09,160,17240
"Goshen town, Northwest Hills Planning Region, Connecticut",54.6,161354,3181,6.0,86.1,0.0,4.0,09,160,32290
"Hartland town, Northwest Hills Planning Region, Connecticut",37.3,117109,1881,2.9,94.3,0.2,0.0,09,160,37140
"Harwinton town, Northwest Hills Planning Region, Connecticut",38.4,107440,5529,6.0,91.7,0.0,0.6,09,160,37280
"Kent town, Northwest Hills Planning Region, Connecticut",54.1,101023,3041,4.3,88.8,0.0,2.1,09,160,40290
"Litchfield town, Northwest Hills Planning Region, Connecticut",46.5,106912,8249,3.8,86.3,1.0,3.4,09,160,43370
"Morris town, Northwest Hills Planning Region, Connecticut",41.8,111000,2100,1.4,95.1,1.5,0.0,09,160,49460
"New Hartford town, Northwest Hills Planning Region, Connecticut",47.1,116618,6684,2.4,93.9,0.0,1.3,09,160,51350
"Norfolk town, Northwest Hills Planning Region, Connecticut",45.7,85859,1732,8.7,83.5,0.9,1.3,09,160,53470
"North Canaan town, Northwest Hills Planning Region, Connecticut",25.1,68295,3200,13.2,80.9,0.0,0.0,09,160,54030
"Roxbury town, Northwest Hills Planning Region, Connecticut",66.3,120250,2184,4.9,84.4,6.8,2.7,09,160,65930
"Salisbury town, Northwest Hills Planning Region, Connecticut",55.4,99382,4206,4.9,84.7,3.6,1.4,09,160,66420
"Sharon town, Northwest Hills Planning Region, Connecticut",58.6,106951,2710,1.2,81.1,0.1,5.1,09,160,67960
"Torrington town, Northwest Hills Planning Region, Connecticut",24.5,69611,35481,13.6,72.6,5.8,3.0,09,160,76570
"Warren town, Northwest Hills Planning Region, Connecticut",51.2,119167,1474,13.9,73.2,2.4,7.5,09,160,79510
"Washington town, Northwest Hills Planning Region, Connecticut",57.2,89135,3648,16.7,79.8,0.4,1.9,09,160,79720
"Winchester town, Northwest Hills Planning Region, Connecticut",28.2,68890,10242,8.5,87.1,1.8,0.0,09,160,86440
"County subdivisions not defined, South Central Connecticut Planning Region, Connecticut",-666666666.0,-666666666,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,09,170,00000
"Bethany town, South Central Connecticut Planning Region, Connecticut",58.9,153879,5280,1.7,90.4,3.6,1.8,09,170,04580
"Branford town, South Central Connecticut Planning Region, Connecticut",49.5,97223,28090,5.4,84.5,3.1,4.4,09,170,07310
"East Haven town, South Central Connecticut Planning Region, Connecticut",25.0,86498,27729,19.3,73.1,3.8,2.1,09,170,22910
"Guilford town, South Central Connecticut Planning Region, Connecticut",57.6,130036,22037,4.4,86.6,1.6,2.8,09,170,34950
"Hamden town, South Central Connecticut Planning Region, Connecticut",46.6,92176,60297,13.3,54.8,23.5,3.9,09,170,35650
"Madison town, South Central Connecticut Planning Region, Connecticut",71.8,168341,17577,3.0,87.7,0.9,3.9,09,170,44560
"Meriden town, South Central Connecticut Planning Region, Connecticut",22.2,68617,60418,37.7,49.2,7.4,2.4,09,170,46520
"Milford town, South Central Connecticut Planning Region, Connecticut",48.8,109580,52340,8.9,80.3,2.6,4.7,09,170,47535
"New Haven town, South Central Connecticut Planning Region, Connecticut",37.7,53771,132893,31.2,29.3,29.0,5.1,09,170,52070
"North Branford town, South Central Connecticut Planning Region, Connecticut",35.5,113687,13487,4.3,89.7,0.5,2.7,09,170,53890
"North Haven town, South Central Connecticut Planning Region, Connecticut",47.4,126807,24177,7.2,79.0,3.7,7.1,09,170,54870
"Orange town, South Central Connecticut Planning Region, Connecticut",59.1,145625,14251,3.6,80.3,4.4,9.1,09,170,57600
"Wallingford town, South Central Connecticut Planning Region, Connecticut",39.0,101572,44039,11.0,80.0,2.1,3.5,09,170,78740
"West Haven town, South Central Connecticut Planning Region, Connecticut",29.0,73566,55147,26.5,46.7,18.2,4.7,09,170,82870
"Woodbridge town, South Central Connecticut Planning Region, Connecticut",73.5,201926,9041,6.0,76.6,2.9,10.0,09,170,87700
"County subdivisions not defined, Southeastern Connecticut Planning Region, Connecticut",-666666666.0,-666666666,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,09,180,00000
"Bozrah town, Southeastern Connecticut Planning Region, Connecticut",32.7,110250,2373,4.2,92.0,0.1,0.5,09,180,06820
"Colchester town, Southeastern Connecticut Planning Region, Connecticut",46.5,118839,15505,5.0,89.4,2.2,0.7,09,180,15910
"East Lyme town, Southeastern Connecticut Planning Region, Connecticut",50.3,107667,18638,5.9,80.6,1.8,6.6,09,180,23400
"Franklin town, Southeastern Connecticut Planning Region, Connecticut",28.9,100179,1925,4.6,78.2,5.6,0.2,09,180,29910
"Griswold town, Southeastern Connecticut Planning Region, Connecticut",17.9,80694,11484,5.2,87.1,0.2,0.6,09,180,33900
"Groton town, Southeastern Connecticut Planning Region, Connecticut",42.2,83547,38086,12.2,70.3,4.8,6.3,09,180,34250
"Lebanon town, Southeastern Connecticut Planning Region, Connecticut",37.4,106594,7137,4.7,92.1,0.0,0.0,09,180,42390
"Ledyard town, Southeastern Connecticut Planning Region, Connecticut",39.7,107774,15394,8.9,77.5,3.0,2.9,09,180,42600
"Lisbon town, Southeastern Connecticut Planning Region, Connecticut",21.2,94302,4213,1.4,94.0,0.0,0.2,09,180,43230
"Montville town, Southeastern Connecticut Planning Region, Connecticut",24.9,87752,18006,8.4,74.6,5.0,4.9,09,180,48900
"New London town, Southeastern Connecticut Planning Region, Connecticut",28.9,60123,27199,34.4,44.8,13.5,2.3,09,180,52350
"North Stonington town, Southeastern Connecticut Planning Region, Connecticut",40.9,115069,5154,9.8,86.4,0.0,2.0,09,180,55500
"Norwich town, Southeastern Connecticut Planning Region, Connecticut",22.6,64185,39992,21.4,55.9,10.1,6.4,09,180,56270
"Preston town, Southeastern Connecticut Planning Region, Connecticut",27.4,109375,4812,3.2,92.9,1.1,1.2,09,180,62150
"Salem town, Southeastern Connecticut Planning Region, Connecticut",52.6,118378,4247,4.1,88.6,1.3,1.2,09,180,66210
"Sprague town, Southeastern Connecticut Planning Region, Connecticut",21.0,89838,2945,9.9,78.3,4.1,3.2,09,180,71670
"Stonington town, Southeastern Connecticut Planning Region, Connecticut",51.7,108922,18381,3.1,85.4,2.2,1.8,09,180,73770
"Waterford town, Southeastern Connecticut Planning Region, Connecticut",39.5,109485,19629,5.8,82.9,2.5,4.7,09,180,80280
"Windham town, Southeastern Connecticut Planning Region, Connecticut",21.0,55034,23905,40.2,51.2,4.4,1.5,09,180,86790
"County subdivisions not defined, Western Connecticut Planning Region, Connecticut",-666666666.0,-666666666,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,09,190,00000
"Bethel town, Western Connecticut Planning Region, Connecticut",44.6,115135,20498,13.9,64.9,6.5,5.6,09,190,04720
"Bridgewater town, Western Connecticut Planning Region, Connecticut",58.8,156682,1670,2.2,92.8,1.8,0.5,09,190,08210
"Brookfield town, Western Connecticut Planning Region, Connecticut",54.2,142432,17490,8.8,79.5,3.6,3.2,09,190,08980
"Danbury town, Western Connecticut Planning Region, Connecticut",34.5,83422,86086,31.1,43.8,11.2,4.8,09,190,18500
"Darien town, Western Connecticut Planning Region, Connecticut",85.6,250001,21683,5.4,82.8,0.4,6.8,09,190,18850
"Greenwich town, Western Connecticut Planning Region, Connecticut",72.4,198458,63505,13.5,69.7,3.3,7.1,09,190,33620
"New Canaan town, Western Connecticut Planning Region, Connecticut",82.8,250001,20704,4.7,83.0,1.7,5.9,09,190,50580
"New Fairfield town, Western Connecticut Planning Region, Connecticut",45.4,143864,13558,13.3,74.7,4.0,1.9,09,190,50860
"New Milford town, Western Connecticut Planning Region, Connecticut",40.5,103630,28161,11.8,77.5,3.7,3.6,09,190,52630
"Newtown town, Western Connecticut Planning Region, Connecticut",55.9,148067,27384,10.4,80.9,2.3,2.2,09,190,52980
"Norwalk town, Western Connecticut Planning Region, Connecticut",44.6,105301,91375,31.4,42.7,17.5,4.7,09,190,56060
"Redding town, Western Connecticut Planning Region, Connecticut",72.5,176719,8756,9.0,81.3,0.7,3.5,09,190,63480
"Ridgefield town, Western Connecticut Planning Region, Connecticut",71.8,168810,24992,6.1,82.8,2.2,4.1,09,190,63970
"Sherman town, Western Connecticut Planning Region, Connecticut",62.2,107375,3508,6.7,84.8,0.7,0.9,09,190,68310
"Stamford town, Western Connecticut Planning Region, Connecticut",51.7,107474,135806,28.1,42.5,19.3,7.0,09,190,73070
"Weston town, Western Connecticut Planning Region, Connecticut",80.7,250001,10335,8.9,78.4,2.7,5.1,09,190,83430
"Westport town, Western Connecticut Planning Region, Connecticut",77.7,250001,27282,9.0,79.2,2.2,4.9,09,190,83500
"Wilton town, Western Connecticut Planning Region, Connecticut",73.9,227165,18439,6.3,74.9,3.8,6.1,09,190,86370
