state_name,year,type,dem_votes,rep_votes,oth_votes,total_votes,dem_seats_won,rep_seats_won,oth_seats_won,seats_up,total_seats,contests,uncontested,vote_missing_contests
Idaho,2018,House,323757,754968,11583,1090308,14.0,56.0,0.0,70,70,70,32,0
Idaho,2018,Senate,169426,377542,6962,553930,7.0,28.0,0.0,35,35,35,15,0
Idaho,2020,House,412094,1104849,39575,1556518,13.0,57.0,0.0,70,70,70,32,0
Idaho,2020,Senate,174254,578044,28533,780831,7.0,28.0,0.0,35,35,35,20,0
Idaho,2022,House,239011,810444,12670,1062125,11.0,59.0,0.0,70,70,70,38,0
Idaho,2022,Senate,103634,400702,14542,518878,7.0,28.0,0.0,35,35,35,22,0
Illinois,2016,House,2604236,2222482,7259,4833977,67.0,51.0,0.0,118,118,118,71,0
Illinois,2016,Senate,1906007,1299861,0,3205868,26.0,14.0,0.0,40,59,40,27,0
Illinois,2018,House,2503372,1693846,0,4197218,74.0,44.0,0.0,118,118,118,54,0
Illinois,2018,Senate,1613380,1162385,32549,2808314,24.0,15.0,0.0,39,59,39,21,0
Illinois,2020,House,3157943,2113389,119000,5390332,73.0,45.0,0.0,118,118,118,63,0
Illinois,2020,Senate,1261848,627734,11916,1901498,19.0,3.0,0.0,22,59,22,12,0
Illinois,2022,House,1872947,1943438,0,3816385,78.0,40.0,0.0,118,118,118,40,0
Illinois,2022,Senate,1910421,1729938,0,3640359,40.0,19.0,0.0,59,59,59,34,0
Indiana,2016,House,985358,1487258,41250,2513866,30.0,70.0,0.0,100,100,100,34,0
Indiana,2016,Senate,495750,704883,22234,1222867,6.0,19.0,0.0,25,50,25,11,0
Indiana,2018,House,944637,1153439,5680,2103756,33.0,67.0,0.0,100,100,100,33,0
Indiana,2018,Senate,369003,703472,0,1072475,4.0,21.0,0.0,25,50,25,6,0
Indiana,2020,House,1121303,1682843,11396,2815542,29.0,71.0,0.0,100,100,100,32,0
Indiana,2020,Senate,596836,778292,0,1375128,7.0,18.0,0.0,25,50,25,9,0
Indiana,2022,House,554243,1108854,14048,1677145,30.0,70.0,0.0,100,100,100,47,0
Indiana,2022,Senate,260751,631551,0,892302,3.0,22.0,0.0,25,50,25,8,0
Iowa,2016,House,641085,727023,26650,1394758,41.0,59.0,0.0,100,100,100,34,0
Iowa,2016,Senate,274448,424175,21035,719658,6.0,19.0,0.0,25,50,25,6,0
Iowa,2018,House,652355,565787,11739,1229881,46.0,54.0,0.0,100,100,100,28,0
Iowa,2018,Senate,336486,274664,11839,622989,12.0,13.0,0.0,25,50,25,8,0
Iowa,2020,House,726718,786409,9708,1522835,41.0,59.0,0.0,100,100,100,29,0
Iowa,2020,Senate,316795,442907,5097,764799,6.0,19.0,0.0,25,50,25,6,0
Iowa,2022,House,443603,629413,27059,1100075,36.0,64.0,0.0,100,100,100,48,0
Iowa,2022,Senate,340605,419989,10987,771581,12.0,22.0,0.0,34,50,34,11,0
Kansas,2016,House,418126,674098,6950,1099174,40.0,85.0,0.0,125,125,125,51,0
Kansas,2016,Senate,476683,661404,7830,1145917,9.0,31.0,0.0,40,40,40,4,0
Kansas,2018,House,385389,568678,7835,961902,40.0,85.0,0.0,125,125,125,64,0
Kansas,2020,House,479361,786389,4685,1270435,39.0,86.0,0.0,125,125,125,46,0
Kansas,2020,Senate,477582,817169,0,1294751,11.0,29.0,0.0,40,40,40,11,0
Kansas,2022,House,334211,566412,3878,904501,40.0,85.0,0.0,125,125,125,65,0
Kentucky,2016,House,695710,1045502,0,1741212,36.0,64.0,0.0,100,100,100,36,0
Kentucky,2016,Senate,328915,420578,0,749493,8.0,11.0,0.0,19,38,19,13,0
Kentucky,2018,House,699377,814787,11028,1525192,39.0,61.0,0.0,100,100,100,15,0
Kentucky,2018,Senate,325800,468530,12197,806527,2.0,17.0,0.0,19,38,19,3,0
Kentucky,2020,House,706246,1225446,19910,1951602,25.0,75.0,0.0,100,100,100,40,0
Kentucky,2020,Senate,340042,532205,26651,898898,5.0,14.0,0.0,19,38,19,11,0
Kentucky,2022,House,377805,904806,2300,1284911,20.0,80.0,0.0,100,100,100,54,0
Kentucky,2022,Senate,160236,500535,1797,662568,2.0,17.0,0.0,19,38,19,11,0
Maine,2016,House,370708,338770,15796,725274,77.0,72.0,2.0,151,151,151,24,0
